1a amostra,2a amostra,3a amostra,4a amostra,5a amostra,ClasseAparelho
0.752,0.751,0.752,0.761,1.410,1
0.751,0.752,0.761,1.410,1.403,1
0.752,0.761,1.410,1.403,1.971,1
0.761,1.410,1.403,1.971,2.857,1
1.410,1.403,1.971,2.857,2.845,1
1.403,1.971,2.857,2.845,2.867,1
1.971,2.857,2.845,2.867,2.854,1

2.850,2.847,2.851,2.857,0.743,2
2.847,2.851,2.857,0.743,0.744,2
2.851,2.857,0.743,0.744,0.740,2
2.857,0.743,0.744,0.740,0.742,2

0.776,0.789,0.775,0.888,1.607,1
0.789,0.775,0.888,1.607,1.638,1
0.775,0.888,1.607,1.638,1.897,1
0.888,1.607,1.638,1.897,2.918,1
1.607,1.638,1.897,2.918,2.931,1
1.638,1.897,2.918,2.931,2.911,1
1.897,2.918,2.931,2.911,2.941,1

2.900,2.884,2.894,2.874,0.786,2
2.884,2.894,2.874,0.786,0.789,2
2.894,2.874,0.786,0.789,0.789,2
2.874,0.786,0.789,0.789,0.782,2

0.737,0.721,0.777,0.784,1.333,1
0.721,0.777,0.784,1.333,1.409,1
0.777,0.784,1.333,1.409,1.699,1
0.784,1.333,1.409,1.699,2.808,1
1.333,1.409,1.699,2.808,2.835,1
1.409,1.699,2.808,2.835,2.845,1
1.699,2.808,2.835,2.845,2.806,1

2.864,2.871,2.865,2.843,0.716,2
2.871,2.865,2.843,0.716,0.704,2
2.865,2.843,0.716,0.704,0.722,2
2.843,0.716,0.704,0.722,0.713,2
2.848,2.866,2.851,2.875,0.725,2
2.866,2.851,2.875,0.725,0.731,2
2.851,2.875,0.725,0.731,0.722,2
2.875,0.725,0.731,0.722,0.727,2

2.815,2.822,2.819,2.814,0.703,2
2.822,2.819,2.814,0.703,0.694,2
2.819,2.814,0.703,0.694,0.708,2
2.814,0.703,0.694,0.708,0.698,2
2.847,2.839,2.853,2.851,0.727,2
2.839,2.853,2.851,0.727,0.728,2
2.853,2.851,0.727,0.728,0.750,2
2.851,0.727,0.728,0.750,0.748,2

0.750,0.748,0.761,0.724,1.668,1
0.748,0.761,0.724,1.668,1.618,1
0.761,0.724,1.668,1.618,1.658,1
0.724,1.668,1.618,1.658,2.067,1
1.668,1.618,1.658,2.067,2.845,1
1.618,1.658,2.067,2.845,2.837,1
1.658,2.067,2.845,2.837,2.844,1
2.067,2.845,2.837,2.844,2.820,1

2.820,2.837,2.814,2.824,0.715,2
2.837,2.814,2.824,0.715,0.764,2
2.814,2.824,0.715,0.764,0.725,2
2.824,0.715,0.764,0.725,0.725,2


0.346,0.345,0.341,4.885,1.174,1
0.345,0.341,4.885,1.174,1.186,1
0.341,4.885,1.174,1.186,2.486,1
4.885,1.174,1.186,2.486,2.500,1
1.174,1.186,2.486,2.500,2.515,1
1.186,2.486,2.500,2.515,2.533,1


2.503,2.501,2.496,2.499,0.348,2
2.501,2.496,2.499,0.348,0.345,2
2.496,2.499,0.348,0.345,0.349,2
2.499,0.348,0.345,0.349,0.344,2
