EPOCH;ClasseAparelho;TimeStamp;
1621446840;1;19/05/2021 14:54:00;
1621446840;1;19/05/2021 14:54:00;
1621446841;1;19/05/2021 14:54:01;
1621446841;1;19/05/2021 14:54:01;
1621446842;1;19/05/2021 14:54:02;
1621446843;1;19/05/2021 14:54:03;
1621446843;1;19/05/2021 14:54:03;
1621446844;1;19/05/2021 14:54:04;
1621446860;2;19/05/2021 14:54:20;
1621446860;2;19/05/2021 14:54:20;
1621446861;2;19/05/2021 14:54:21;
1621446861;2;19/05/2021 14:54:21;
1621446916;1;19/05/2021 14:55:16;
1621446917;1;19/05/2021 14:55:17;
1621446917;1;19/05/2021 14:55:17;
1621446918;1;19/05/2021 14:55:18;
1621446919;1;19/05/2021 14:55:19;
1621446919;1;19/05/2021 14:55:19;
1621446920;1;19/05/2021 14:55:20;
1621446920;1;19/05/2021 14:55:20;
1621446936;2;19/05/2021 14:55:36;
1621446937;2;19/05/2021 14:55:37;
1621446937;2;19/05/2021 14:55:37;
1621446938;2;19/05/2021 14:55:38;
1621446990;1;19/05/2021 14:56:30;
1621446991;1;19/05/2021 14:56:31;
1621446991;1;19/05/2021 14:56:31;
1621446992;1;19/05/2021 14:56:32;
1621446992;1;19/05/2021 14:56:32;
1621446993;1;19/05/2021 14:56:33;
1621446993;1;19/05/2021 14:56:33;
1621446994;1;19/05/2021 14:56:34;
1621446994;1;19/05/2021 14:56:34;
1621447010;2;19/05/2021 14:56:50;
1621447010;2;19/05/2021 14:56:50;
1621447011;2;19/05/2021 14:56:51;
1621447011;2;19/05/2021 14:56:51;
